id_meals,meals_names,calories,proteins,fats,carbohydrates
1,"Агар (*в т. ч. НПВ-75,6)",12.0,2.0,0.0,0.8
2,Агар пищевой,16.0,4.0,0.0,0.0
3,Батончики на кондитерском жире,527.0,3.3,30.5,62.5
4,Вафли с жировыми начинками,542.0,3.9,30.6,62.5
5,Вафли с фруктово-ягодными начинками,354.0,2.8,3.3,77.3
6,Галеты,393.0,9.7,10.2,65.6
7,"Галеты, из муки высшего сорта",415.0,9.7,10.2,68.4
8,"Галеты, из муки первого сорта",345.0,11.0,1.4,69.5
9,Глазурь жировая,547.0,3.9,37.2,48.9
10,Глазурь шоколадная,542.0,4.9,34.5,52.5
11,"Десерт, хрустящие яблоки, приготовленные по рецепту",161.0,1.75,3.43,29.44
12,"Десерт, шоколадный мусс, приготовленный по рецепту",225.0,4.14,16.0,15.47
13,Драже сахарное,393.0,0.0,0.0,97.7
14,"Драже, ореховое",547.5,11.9,38.3,41.4
15,"Драже, фруктово-ягодное в шоколаде",389.0,3.7,10.2,73.1
16,"Жвачка, 360 ккал",360.0,0.0,0.3,94.3
17,"Жвачка, без сахара, 268 ккал",268.0,0.0,0.4,92.4
18,Желатин пищевой,355.0,87.2,0.4,0.7
19,"Желатин, сухой порошок, неподслащенный",335.0,85.6,0.1,0.0
20,"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951)",198.0,15.67,0.0,80.11
21,"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), без доб. натрия",345.0,55.3,0.0,33.3
22,"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), приготовленный на воде",20.0,0.83,0.0,4.22
23,"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), фосфор, калий, натрий, витамин C",345.0,55.3,0.0,33.3
24,"Желе, десерт, сухая смесь, приготовленный на воде",60.0,1.22,0.0,14.19
25,"Желе, десерт, сухая смесь, с доб. аскорбиновой кислоты, цитрата натрия, и соли",381.0,7.8,0.0,90.5
26,"Желе, сухая смесь",381.0,7.8,0.0,90.5
27,Жир кондитерский для шоколадных изделий,897.0,0.0,99.7,0.0
28,Жир кондитерский твердый,898.0,0.0,99.8,0.0
29,Заварные трубочки с кремом,329.0,5.9,10.2,55.2
30,"Замороженный йогурт, шоколадный",131.0,3.0,3.6,19.3
31,Зефир,326.0,0.8,0.1,79.8
32,"Зефир, глазированный шоколадом",396.0,2.2,12.3,68.4
33,Ирис полутвердый,408.0,3.3,7.6,81.5
34,Ирис тираженный,443.0,6.6,15.9,68.2
35,Какао-порошок,289.0,24.3,15.0,10.2
36,"Какао-порошок, неподслащенный",228.0,19.6,13.7,20.9
37,"Какао-порошок, неподслащенный, HERSHEY'S European Style Cocoa",410.0,20.0,10.0,40.0
38,"Какао-порошок, неподслащенный, прошедший алкализацию",220.0,18.1,13.1,28.5
39,"Какао-порошок, с высоким содерж. жира, или для завтрака, прошедший алкализацию",479.0,16.8,23.71,15.81
40,Какаовелла,147.0,15.0,4.5,11.0
41,Карамель глазированная,378.0,1.0,0.8,92.9
42,"Карамель, леденцовая",384.0,0.0,0.0,95.8
43,"Карамель, с ликерными начинками",358.0,0.0,0.1,92.6
44,"Карамель, с молочными начинками",377.0,0.8,1.0,91.2
45,"Карамель, с ореховыми начинками",410.0,3.1,7.3,86.6
46,"Карамель, с помадными начинками",366.0,0.0,0.1,94.7
47,"Карамель, с прохладительными начинками",429.0,0.0,10.0,88.0
48,"Карамель, с фруктово-ягодными начинками",371.0,0.1,0.1,92.4
49,"Карамель, с шоколадно-ореховыми начинками",427.0,1.6,8.0,87.1
50,Конфеты глазированные шоколадом с желейными корпусами,359.0,1.4,8.2,69.4
51,"Конфеты глазированные шоколадом, ассорти с пралиновыми начинками",533.0,6.9,30.8,56.9
52,"Конфеты глазированные шоколадом, с грильяжными корпусами",489.0,7.8,22.0,64.9
53,"Конфеты глазированные шоколадом, с комбинированными корпусами",414.0,3.9,14.6,69.7
54,"Конфеты глазированные шоколадом, с кремово-сбивными корпусами",463.0,2.7,25.8,54.7
55,"Конфеты глазированные шоколадом, с кремовыми корпусами",523.0,7.5,31.8,53.6
56,"Конфеты глазированные шоколадом, с начинками между слоями вафель",535.0,5.8,32.0,57.9
