id_films,names_films,types_film,rating_films,years_films,links_films
1,Капитан Марвел 2 ,"фэнтези, боевик, приключения",0,2023 ,https://baskino.org/films/27566-kapitan-marvel-2.html
2,Капитан Марвел 2 ,"фэнтези, боевик, приключения",0,2023 ,https://baskino.org/films/27567-kapitan-marvel-2.html
3,Очарование свадебной вуали ,"мелодрама, комедия",0,2023 ,https://baskino.org/films/27565-ocharovanie-svadebnoj-vuali.html
4,Слаще шоколада ,"мелодрама, комедия",0,2023 ,https://baskino.org/films/27564-slasche-shokolada.html
5, 3 дня и 3 ночи ,мелодрама,50,2021 ,https://baskino.org/films/15-3-dnja-i-3-nochi.html
6,Хэллоуинская резня 1962-го ,ужасы,0,2023 ,https://baskino.org/films/27562-hjellouinskaja-reznja-1962-go.html
7,Призраки юга ,"ужасы, триллер",0,2023 ,https://baskino.org/films/27561-prizraki-juga.html
8,Слаще шоколада ,"мелодрама, комедия",0,2023 ,https://baskino.org/films/27564-slasche-shokolada.html
9, 3 дня и 3 ночи ,мелодрама,50,2021 ,https://baskino.org/films/15-3-dnja-i-3-nochi.html
10,Призраки юга ,"ужасы, триллер",0,2023 ,https://baskino.org/films/27560-prizraki-juga.html
11,Призраки юга ,"ужасы, триллер",0,2023 ,https://baskino.org/films/27561-prizraki-juga.html
12,Разорви мою жизнь ,"триллер, комедия",0,2023 ,https://baskino.org/films/27556-razorvi-moju-zhizn.html
13,Трубная нация ,драма,0,2023 ,https://baskino.org/films/27555-trubnaja-nacija.html
14,Легенда о Джеке и Диане ,"триллер, драма, мелодрама",0,2023 ,https://baskino.org/films/27552-legenda-o-dzheke-i-diane.html
15,Легенда о Джеке и Диане ,"триллер, драма, мелодрама",0,2023 ,https://baskino.org/films/27553-legenda-o-dzheke-i-diane.html
16,Разбитый ,"триллер, драма",0,2023 ,https://baskino.org/films/27551-razbityj.html
17,Разбитый ,"триллер, драма",0,2023 ,https://baskino.org/films/27550-razbityj.html
18,Сильный воин ,"драма, спорт",0,2023 ,https://baskino.org/films/27548-silnyj-voin.html
19,"Папа, не звезди! ",комедия,0,2023 ,https://baskino.org/films/27547-papa-ne-zvezdi.html
20,Баночка ,"драма, комедия",0,2022 ,https://baskino.org/films/26939-banochka.html
21,По щучьему велению ,"фэнтези, приключения",70,2023 ,https://baskino.org/films/27243-po-schuchemu-veleniju.html
22,Анатомия падения ,"триллер, драма, криминал",0,2023 ,https://baskino.org/films/27390-anatomija-padenija.html
23,Трилогия о богах. Часть 1 ,"боевик, фэнтези",0,2023 ,https://baskino.org/films/26349-trilogija-o-bogah-chast-1.html
24,День благодарения ,ужасы,30,2023 ,https://baskino.org/films/26622-den-blagodarenija.html
25,Кладбище домашних животных: Кровные узы ,ужасы,0,2023 ,https://baskino.org/films/27479-kladbische-domashnih-zhivotnyh-krovnye-uzy.html
26,Бун: Охотник за головами ,"боевик, драма",0,2017 ,https://baskino.org/films/27532-bun-ohotnik-za-golovami.html
27,Бун: Охотник за головами ,"боевик, драма",0,2017 ,https://baskino.org/films/27533-bun-ohotnik-za-golovami.html
28,Статус ,"драма, криминал",0,2023 ,https://baskino.org/films/27531-status.html
29,Детская Машина ,фантастика,0,2023 ,https://baskino.org/films/27530-detskaja-mashina.html
30,Парни из канавы ,"ужасы, комедия",0,2023 ,https://baskino.org/films/27527-parni-iz-kanavy.html
31,Придаток ,ужасы,0,2023 ,https://baskino.org/films/27525-pridatok.html
32,Придаток ,ужасы,0,2023 ,https://baskino.org/films/27526-pridatok.html
33,Король Лахири ,"драма, комедия",0,2023 ,https://baskino.org/films/27524-korol-lahiri.html
34,Из теней ,ужасы,0,2023 ,https://baskino.org/films/27522-iz-tenej.html
35,Догмен ,боевик,0,2023 ,https://baskino.org/films/27519-dogmen.html
36,Догмен ,боевик,0,2023 ,https://baskino.org/films/27520-dogmen.html
37,Волчица ,драма,0,2023 ,https://baskino.org/films/27517-volchica.html
38,ДваДва ,фэнтези,0,2023 ,https://baskino.org/films/27515-dvadva.html
39,Удивительный Оксфорд ,"драма, мелодрама",0,2023 ,https://baskino.org/films/27514-udivitelnyj-oksford.html
40,Удивительный Оксфорд ,"драма, мелодрама",0,2023 ,https://baskino.org/films/27513-udivitelnyj-oksford.html
41,Марк Энтони ,"фантастика, боевик, триллер, драма, комедия",0,2023 ,https://baskino.org/films/27511-mark-jentoni.html
42,Семь одиннадцать вечера ,"фантастика, боевик, триллер",0,2023 ,https://baskino.org/films/27509-sem-odinnadcat-vechera.html
43,Марокканская мафия: Татта ,"боевик, криминал",0,2023 ,https://baskino.org/films/27507-marokkanskaja-mafija-tatta.html
44,Хранитель Зеленого дуба ,мелодрама,0,2023 ,https://baskino.org/films/27503-hranitel-zelenogo-duba.html
45,Зачарованные ,драма,0,2023 ,https://baskino.org/films/27501-zacharovannye.html
46,Зачарованные ,драма,0,2023 ,https://baskino.org/films/27502-zacharovannye.html
47,Кровавое золото ,"боевик, триллер, драма",0,2023 ,https://baskino.org/films/27498-krovavoe-zoloto.html
48,Конкретный убийца ,"ужасы, комедия, фантастика",0,2023 ,https://baskino.org/films/27485-konkretnyj-ubijca.html
49,Балерина ,"боевик, криминал",0,2023 ,https://baskino.org/films/27483-balerina.html
50,Военный трибунал по делу о мятеже на «Кейне» ,"драма, детектив",0,2023 ,https://baskino.org/films/27475-voennyj-tribunal-po-delu-o-mjatezhe-na-kejne.html
51,Дом кукол ,ужасы,0,2023 ,https://baskino.org/films/27474-dom-kukol.html
52,Дорога отчаяния ,"боевик, триллер, детектив",0,2023 ,https://baskino.org/films/27472-doroga-otchajanija.html
53,Отвращение ,"триллер, комедия",0,2023 ,https://baskino.org/films/27470-otvraschenie.html
54,Отец года ,"драма, мелодрама, семейный, спорт",0,2023 ,https://baskino.org/films/27468-otec-goda.html
55,Отец года ,"драма, мелодрама, семейный, спорт",0,2023 ,https://baskino.org/films/27467-otec-goda.html
56,Обмен детьми ,комедия,0,2023 ,https://baskino.org/films/27465-obmen-detmi.html
57,Обмен детьми ,комедия,0,2023 ,https://baskino.org/films/27466-obmen-detmi.html
58,Черная полоса ,"драма, мелодрама, криминал",0,2023 ,https://baskino.org/films/27452-chernaja-polosa.html
59,Мельница ,"фантастика, триллер, драма, детектив",0,2023 ,https://baskino.org/films/27449-melnica.html
60,Похороны ,"драма, история, биография",0,2023 ,https://baskino.org/films/27447-pohorony.html
61,Похороны ,"драма, история, биография",0,2023 ,https://baskino.org/films/27448-pohorony.html
62,Морок ,ужасы,0,2023 ,https://baskino.org/films/27442-morok.html
63,Ты сводишь меня с ума! ,комедия,0,2023 ,https://baskino.org/films/27439-ty-svodish-menja-s-uma.html
64,Мост шантильи ,драма,0,2023 ,https://baskino.org/films/27437-most-shantili.html
65,Мост шантильи ,драма,0,2023 ,https://baskino.org/films/27436-most-shantili.html
66,Заклятие. Зло внутри ,ужасы,0,2023 ,https://baskino.org/films/27434-zakljatie-zlo-vnutri.html
67,Спаркл: История единорога ,"фэнтези, приключения, семейный",0,2023 ,https://baskino.org/films/27430-sparkl-istorija-edinoroga.html
68,Перемены 2 ,"боевик, триллер, драма, криминал",0,2023 ,https://baskino.org/films/27428-peremeny-2.html
69,3 дня в Малайе ,"боевик, военный, история",0,2023 ,https://baskino.org/films/27378-3-dnja-v-malaje.html
70,Темур ,боевик,0,2018 ,https://baskino.org/films/21409-temur.html
